trans_id	bundle_id	chr	left	right	FPKM_1	FPKM_2	FPKM_1/FPKM_2	FMI	frac	FPKM_conf_lo	FPKM_conf_hi	coverage	length	Contig	Contig_length	Accession1	Description1	eval1	Accession2	Description2	eval2
CUFF.1.1	3549.00	NODE_10010_length_267_cov_37.344570	0.00	333.00	737.77			1.00	1.00	692.68	782.85	244.41	333.00								
CUFF.1001.1	4641.00	NODE_1910_length_241_cov_28.365145	0.00	307.00	559.65	7.05	79.27	1.00	1.00	518.75	600.55	185.41	307.00	NODE_1910_length_241_cov_28.365145	307.00	gb|AC186295.3|	Medicago truncatula chromosome 2 BAC clone mth2-26g6, complete sequence.	4.0e-54	ref|XM_002315532.1|	Populus trichocarpa chromatin remodeling complex subunit (CHR914), mRNA.	3.0e-36
CUFF.1003.1	4643.00	NODE_19160_length_396_cov_44.585857	129.00	446.00	88.28	1072.65	0.08	1.00	1.00	72.29	104.26	29.24	317.00	NODE_19160_length_396_cov_44.585857	462.00	gb|BT090898.1|	Soybean clone JCVI-FLGm-5J21 unknown mRNA.	3.0e-80	gb|BT089108.1|	Soybean clone JCVI-FLGm-1I19 unknown mRNA.	6.0e-57
CUFF.1005.1	4645.00	NODE_19195_length_138_cov_13.971014	4.00	204.00	357.85	22.18	16.12	1.00	1.00	317.33	398.36	118.21	200.00	NODE_19195_length_138_cov_13.971014	204.00	dbj|AK250332.1|	Hordeum vulgare subsp. vulgare cDNA clone: FLbaf72e20, mRNA sequence.	1.20	gb|AE013599.4|	Drosophila melanogaster chromosome 2R, complete sequence.	4.60
CUFF.1007.1	4647.00	NODE_191_length_322_cov_48.704967	0.00	388.00	1017.48			1.00	1.00	968.42	1066.53	337.08	388.00	NODE_191_length_322_cov_48.704967	388.00	gb|BT097945.1|	Soybean clone JCVI-FLGm-11J24 unknown mRNA.	3.0e-18	gb|BT052159.1|	Medicago truncatula clone MTYF9_FA_FB_FC1G-B-14 unknown mRNA.	2.0e-16
CUFF.1009.1	4649.00	NODE_19267_length_284_cov_53.369717	12.00	173.00	208.01	1356.04	0.15	1.00	1.00	173.58	242.45	68.88	161.00	NODE_19267_length_284_cov_53.369717	350.00	dbj|AK244543.1|	Glycine max cDNA, clone: GMFL01-06-F03.	6.0e-78	dbj|AK244235.1|	Glycine max cDNA, clone: GMFL01-02-H11.	6.0e-78
CUFF.101.1	3657.00	NODE_1065_length_195_cov_248.210251	0.00	261.00	636.31	10149.40	0.06	1.00	1.00	589.02	683.61	210.74	261.00	NODE_1065_length_195_cov_248.210251	261.00	gb|GU476392.1|	Cuttsia viburnea isolate EE4_01F_CUTVIB 18S ribosomal RNA gene, partial sequence.	1.0e-144	gb|GU476391.1|	Carpodetus serratus isolate EE4_04A_CARSER 18S ribosomal RNA gene, partial sequence.	1.0e-144
CUFF.1011.1	4651.00	NODE_19267_length_284_cov_53.369717	243.00	331.00	5.21	1356.04	3.84459897938114e-03	1.00	1.00	0.00	12.58	1.72	88.00	NODE_19267_length_284_cov_53.369717	350.00	dbj|AK244543.1|	Glycine max cDNA, clone: GMFL01-06-F03.	6.0e-78	dbj|AK244235.1|	Glycine max cDNA, clone: GMFL01-02-H11.	6.0e-78
CUFF.1013.1	4653.00	NODE_1926_length_434_cov_25.377880	0.00	500.00	567.05			1.00	1.00	534.79	599.31	187.84	500.00	NODE_1926_length_434_cov_25.377880	500.00	ref|XM_002524430.1|	Ricinus communis Protein HLJ1, putative, mRNA.	2.0e-07	ref|XM_002285088.1|	PREDICTED: Vitis vinifera hypothetical protein LOC100262992 (LOC100262992), mRNA.	2.0e-07
CUFF.1015.1	4655.00	NODE_19281_length_67_cov_30.044777	0.00	133.00	738.16			1.00	1.00	666.80	809.53	244.04	133.00	NODE_19281_length_67_cov_30.044777	133.00	gb|AC124713.5|	Mus musculus BAC clone RP24-116N2 from chromosome 8, complete sequence.	0.18	gb|AC164311.4|	Mus musculus BAC clone RP23-144H18 from chromosome 8, complete sequence.	0.18
